Grafo,Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
grafo1,10,11,0.048426223,0.04684484,0.020309265,49,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,12,0.037787771,0.031237721,0.021773375,18,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,13,0.034367228,0.031244874,0.0153073,33,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,14,0.045481658,0.039053679,0.018078895,42,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,15,0.048426056,0.039075494,0.021465837,46,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,16,0.043739772,0.031249166,0.018215453,34,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,17,0.044743347,0.031273246,0.021496627,42,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,18,0.051792359,0.046869755,0.018307533,46,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,19,0.042181087,0.03125906,0.01855814,45,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,11,0,0.042174101,0.031243801,0.018555284,33,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,1,0.045302415,0.039058208,0.017743206,44,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,2,0.045301557,0.031247973,0.021487038,49,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,3,0.050643039,0.046847224,0.022501809,49,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,4,0.048425746,0.046864986,0.020305017,49,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,5,0.053111529,0.046868086,0.012496496,49,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,6,0.053112674,0.046863914,0.01739607,48,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,7,0.053947473,0.046880364,0.018772904,49,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,8,0.042176843,0.031249642,0.01854007,42,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,9,0.048686242,0.040317416,0.023463643,44,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,10,0.04530139,0.039057255,0.017735816,49,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,12,0.034789062,0.031239867,0.016088567,18,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,13,0.040615511,0.031246066,0.018751472,33,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,14,0.0437397,0.031267643,0.018208291,42,4,0.333333333,0.452380952,0.046539961,4,0.048802937
grafo1,11,15,0.048426819,0.046856403,0.016299901,46,4,0.333333333,0.452380952,0.046539961,4,0.048802937
